VAR_NAME,MIN_VALUE,MAX_VALUE,WOE,ESTIMATES,SCORE
Age,19,28,-0.29473263044844766,0.8193136485217754,51.0
Age,29,38,0.1388364448542157,0.8193136485217754,62.0
Age,39,75,0.18571714579509266,0.8193136485217754,63.0
Sex,female,female,-0.23534083455727162,0.1873402110221881,57.0
Sex,male,male,0.11303480731768506,0.1873402110221881,59.0
Job,0,2,0.0371664398752743,0.407503914407197,59.0
Job,3,3,-0.20441251460814672,0.407503914407197,56.0
Housing,free,free,-0.4726044109457929,0.6743779958340592,49.0
Housing,own,own,0.19415601444095756,0.6743779958340592,62.0
Housing,rent,rent,-0.4044452202074189,0.6743779958340592,50.0
Saving accounts,little,little,-0.0787526623430465,0.5712668146268751,57.0
Saving accounts,moderate,moderate,-0.1395518804061056,0.5712668146268751,56.0
Saving accounts,quite rich,quite rich,0.7060505853958533,0.5712668146268751,70.0
Saving accounts,rich,rich,1.0986122886681098,0.5712668146268751,76.0
Checking account,little,little,0.14246923142956042,0.7497335684446241,61.0
Checking account,moderate,moderate,-0.4013917827205285,0.7497335684446241,50.0
Checking account,rich,rich,0.4054651081081644,0.7497335684446241,67.0
Credit amount,250,2319,0.1071061648149856,-1.120543860301667,55.0
Credit amount,2320,18424,-0.10270211799121633,-1.120543860301667,62.0
Duration,4,12,0.46741569696970287,0.9523487217246135,71.0
Duration,13,24,0.015107782991971895,0.9523487217246135,59.0
Duration,26,72,-0.6202404097518576,0.9523487217246135,41.0
Purpose,business,business,-0.23052365861183224,0.77339048441069,53.0
Purpose,car,car,-0.0683192439774772,0.77339048441069,57.0
Purpose,domestic appliances,domestic appliances,-0.15415067982725836,0.77339048441069,55.0
Purpose,education,education,-0.3992731378602432,0.77339048441069,49.0
Purpose,furniture/equipment,furniture/equipment,-0.0955565155612054,0.77339048441069,56.0
Purpose,radio/TV,radio/TV,0.41006281735679384,0.77339048441069,67.0
Purpose,repairs,repairs,-0.2876820724517809,0.77339048441069,52.0
Purpose,vacation/others,vacation/others,-0.5108256237659907,0.77339048441069,47.0
